アキヤ	秋谷	1290		330	-13.9068
アゲアシ	挙げ足	1285		501	-18.7236
アラソエレ	争えれ	617		43	-14.2776
アンカク	安赫	1289		501	-17.9060
アクタ	芥	1285		128	-18.7236
アヤナ	綾奈	1290		51	-13.7115
アワタダシイ	あわただしい	19		401	-18.3284
アタエン	与えん	620		481	-7.2215
アカキャ	赤きゃ	17		295	-8.5184
アエネエ	あえねえ	19		501	-12.6163
アコ	飽こ	681		252	-11.4705
アブラコ	油子	1285		501	-18.7236
アントウ	暗闘	1283		388	-14.4601
アサヨガ	朝ヨガ	1314	1285	17	-13.3151
アタジケナ	あたじけな	11		501	-18.1488
アツヒロ	厚洋	1291		501	-18.1724
アア	於戯	3		501	-16.9819
アントニウス		1288		273	-12.9428
アイクルシキ	愛くるしき	44		460	-12.2842
アラキドンサン	アラキドン酸	1288		83	-14.2985
アツヒコ	篤彦	1291		170	-15.1279
アートー	あーとー	2		501	-15.8241
アシグサ	葦草	1285		501	-18.7236
アキラ	暁良	1291		501	-16.7060
アガナウ	購う	817		438	-15.4343
アイティヨウゴ	IT用語	1288		501	-14.5018
アマタルカロ	甘たるかろ	25		501	-17.9867
アーティスティックスイミング		1288		501	-14.5542
アサカリ	朝猟	1291		501	-18.1724
アキヒロ	彰宏	1291		501	-14.9971
アリストテレス		1289		88	-10.3817
アニメサクヒン	アニメ作品	1288		322	-11.6423
アイチケントヨタシ	愛知県豊田市	1293		266	-12.6384
アッ	会っ	829		427	-7.2348
アキヤ	明也	1291		501	-16.5629
アズマフジ	東富士	1289		269	-13.4910
アゼカ	簣	1290		501	-15.5883
アラッポカッ	あらっぽかっ	33		501	-17.6993
アイボ	AIBO	1288		115	-14.6385
アライタテル	洗い立てる	619		501	-18.6535
アホ		1285		420	-10.2902
アヤメヨ	殺めよ	624		479	-13.1085
アサオキタラ	朝起きたら	1314	433	17	-11.2060
アケクラス	明け暮らす	731		501	-17.4749
アフレテル	溢れてる	625	307	17	-11.2289
アキラカ	昿	1288		501	
アニキ	哥兄	1285		501	-18.6282
アップライト		1288		95	-13.8324
アライナガセヨ	洗い流せよ	621		501	-16.0423
アタタマレ	温まれ	784		487	-11.2593
アラキ	あらき	21		36	-10.2269
アサブクロ	麻袋	1288		270	-14.6446
アケハラエ	開け払え	814		501	-18.2825
アキタネ	昭胤	1291		501	-15.6074
アルフォンソ		1289		273	-11.2575
アカヌケヨ	垢抜けよ	624		501	-12.7322
アサナギ	朝凪	1285		343	-16.1268
アカネサン	アカネさん	1285	1302	17	-13.1550
アマテラセ	あまてらせ	835		293	-8.2170
アキオ	晃男	1291		501	-17.6615
アイニイコウ	会いに行こう	1288		501	-14.6436
アオコ		1285		457	-14.7548
アキノリ	昭典	1291		159	-18.1724
アケワタシ	明渡し	1285		345	-18.7236
アールアール	RR	1288		9	-12.4040
アワ	安房	1293		464	-11.2499
アキナ	估	1288		501	
アキタチュウオウコウツウ	秋田中央交通	1288		321	-15.0041
アグン	倦ん	766		479	-17.2363
アオビレル	青びれる	619		501	-18.9412
アニメ	anime	1288		376	-14.3748
アキハ	秋葉	1293		330	-13.3609
アンスタ	あんスタ	1288		501	-11.5710
アーセナル		1289		348	-11.0112
アワセマツル	合わせ祭る	772		501	-18.4236
アツケシ	厚岸	1293		385	-12.5347
アルコールドスウ	アルコール度数	1285		17	-12.3674
アツボッタシ	あつぼったし	23		501	-17.6801
アサイチ	朝市	1285		228	-13.5024
アンティゴノスチョウ	アンティゴノス朝	1288		359	-14.9821
アツ	腆	1288		501	
アリスティド		1290		68	-12.8320
アソビアキル	遊びあきる	619		501	-18.2480
アッタカ	暖か	1287		66	-10.0120
アソウ	麻生	1290		344	-10.9339
アオゲレ	仰げれ	617		501	-16.6936
アラタメ	革め	625		501	-16.9783
アイオーシー	IOC	1288		436	-11.8017
ア	粟	1288		501	
アウト	Out	1288		367	-12.6745
アマオト	雨音	1285		501	-18.7236
アオザメ	青鮫	1285		501	-18.7236
アシタ	朝	1314		380	-18.3020
アパルトマン		1285		290	-15.0134
アジワイワケル	味わいわける	619		501	-18.6535
アナタト	あなたと	1288		244	-11.5273
アルタイゴゾク	アルタイ語族	1288		352	-14.8538
アーティスティック		1287		66	-13.8311
アダチガハラ	安達ヶ原	1293		501	-17.7008
アラワシ	著し	735		390	-9.3427
