オフ	生	1287		364	-18.2300
オオソン	大損	1283		474	-13.8732
オウズ	応ず	593		43	-10.3116
オトコジュク	男塾	1288		74	-14.4363
オシウツ	推し移	776		501	-18.5488
オソロシイ	恐しい	19		501	-18.5107
オウ	鞅	1288		501	
オオザト	おおざと	1285		135	-19.2344
オカベタカシ	岡部たかし	1289		122	-14.9170
オウエンカ	応援歌	1283	1298	17	-13.4794
オオメツケ	大目付	1288		108	-13.5293
オソレル	恐れる	619		43	-9.4148
オウシャ	往者	1285		501	-17.4708
オソレオウカラ	恐れおおから	27		501	-17.9875
オモイカエセ	思い返せ	734		479	-9.9545
オッパラウ	追っ払う	817		501	-15.7585
オイボレ	老耄	1285		501	-17.3077
オモイチガイ	思い違い	1283		479	-13.2302
オオシク	男々しく	51		501	-17.7013
オモウ	想う	817		460	-9.3228
オシカクセ	押し隠せ	622		501	-18.6602
オリタタ	下立た	740		501	-16.7353
オネガイイタシ	お願い致し	1283	1055	17	-8.7991
オオツル	大鶴	1290		49	-14.5458
オオホホホホ	おおほほほほ	3		501	-16.9819
オンケンハ	穏健派	1288		430	-12.4873
オギン	お吟	1291		501	-17.8847
オダキュウ	おだきゅう	1288		99	-14.6629
オシコマ	押し込ま	764		379	-10.4316
オーストリアコウテイ	オーストリア皇帝	1288		329	-13.5675
オオツキケンヂ	大槻ケンヂ	1289		67	-13.0465
オドロキイレ	驚き入れ	768		501	-17.7581
オサマ	治ま	776		192	-11.9568
オキノハマヒガシ	沖浜東	1293		501	-17.7008
オンダン	おんだん	1287		501	-17.6422
オーダ		1285		5	-14.5678
オオダコ	大凧	1285		501	-18.7236
オンラインイベント		1285		17	-12.1307
オソレオオク	おそれおおく	35		501	-15.9274
オードリー		1289		25	-11.2967
オクガキ	おくがき	1285		501	-19.2344
オイシクナッ	おいしくなっ	51	786	17	-10.2660
オハナシシ	お話し	1283	610	17	-10.0470
オカエシ	お返し	1283		17	-11.0164
オオミヤ	大宮	1290		473	-12.4732
オカマボウ	おかま帽	1285		501	-18.9467
オヨバ	およば	756		387	-9.2695
オクリタオシ	送り倒し	1285		501	-18.7236
オオムタエキ	大牟田駅	1293		321	-13.5021
オトコウン	おとこ運	1285		501	-18.9467
オオフナト	大船渡	1293		473	-12.9117
オジチャン	おじちゃん	1285	1302	17	-12.0209
オモチャガワリ	おもちゃ代わり	1285		501	-19.2344
オサエツケリャ	押え付けりゃ	618		501	-18.6267
オライ	悪来	1289		501	-17.9060
オエル	卒える	919		501	-18.4637
オヨギツケ	泳ぎ着け	625		501	-18.7275
オキツグ	意次	1291		108	-12.4947
オシワケロ	押分けろ	623		501	-18.6456
オッカナウ	おっかなう	31		501	-13.0475
オリーブ・オイル		1288		75	-14.1436
オーガタ	O型	1288		14	-11.2118
オウギドンヤ	扇問屋	1285		501	-18.7236
オオツノ	大角	1285		246	-16.6768
オリヨ	下りよ	621		471	-10.8356
オオハサマ	大迫	1293		176	-17.7008
オキノ	おきの	1289		99	-12.9610
オンナドウシ	女同士	1288		368	-13.6689
オウエンコメント	応援コメント	1283		17	-13.3645
オサメロ	収めろ	623		481	-8.9320
オガミウチ	拝み撃ち	1285		501	-18.7236
オコシ	起し	735		427	-11.6433
オジンオズボーン		1289		122	-17.4490
オリカサネレ	折りかさねれ	617		501	-18.0870
オコシテ	起こして	735	307	17	-10.0768
オス	押忍	1288		501	-14.2296
オブウ	負ぶう	817		501	-18.2869
オモッタリシ	思ったりし	829	610	17	-11.1028
オモヒナグサメル	思ひ慰める	619		501	-18.2480
オノマチコ	尾野真千子	1289		122	-13.7120
オシノケロ	押し退けろ	623		501	-14.2272
オケリャ	おけりゃ	618		43	-10.8378
オススメデス	おすすめです	1283	460	17	-10.0619
オハナシハ	お話は	1283	261	17	-11.3173
オサム	乃	1291		3	-10.8507
オオグリ	大栗	1293		371	-14.4453
オシマク	押し巻く	695		501	-14.6770
オモッテマシ	思ってまし	829	501	17	-9.8947
オシコメヨ	押しこめよ	621		501	-17.1558
オジャン	おじゃん	774		501	-13.0680
オチツケ	落ちつけ	675		501	-12.0212
オオイワ	大岩	1290		74	-11.6319
オヌシ	おぬし	1306		501	-17.5988
オンヨウ	音容	1285		501	-17.8906
オスタカ	おすたか	1293		501	-18.3940
オセー	おせー	19		501	-11.9447
オオテマチ	大手町	1293		18	-11.5797
オカソ	犯そ	732		438	-9.3315
オオアジ	大味	1287		66	-13.3406
オトトビ	音とび	1285		501	-18.7236
オウギバシ	扇橋	1290		114	-15.0011
オヨガス	泳がす	731		501	-17.6572
オンナグルイ	女狂い	1285		501	-17.1591
オンス		1285		221	-14.0746
オールジャパン		1288		491	-14.1508
オオカシ	大樫	1285		501	-18.7236
オイコス		1288		291	-14.7366
オドシト	脅し取	776		501	-15.8541
オコナウノ	行うの	819	1310	17	-11.4329
オノタニシンゴウジョウ	小野谷信号場	1288		109	-14.8218
オンキセガマシケリャ	恩着せがましけりゃ	41		501	-12.7729
オチブレン	零落れん	620		501	-18.9335
オリアオ	折り合お	820		479	-12.3303
オウギン	王銀	1285		501	-18.6282
オホーツクソウゴウシンコウキョク	オホーツク総合振興局	1292		82	-13.1154
オヤスシ	お安し	23		501	-11.5871
オワロ	終わろ	778		471	-7.0628
オシセマル	押し迫る	772		501	-17.0992
オカデンバス	岡電バス	1288		321	-14.7065
オダカ	尾だか	1285		501	-18.6282
オモイアタリ	思いあたり	788		501	-15.5176
オシャレ	御洒落	1283		501	-18.0694
オキダイ	置台	1285		501	-18.7236
オチコボレル	落ちこぼれる	619		501	-13.9452
オヤギョウ	親業	1285		501	-18.6282
オノデラユイ	小野寺結衣	1289		122	-17.4900
オイコセロ	追い越せろ	623		501	-15.3387
オヤッ	親っ	1285		501	-18.6282
オモシロカエル	面白蛙	1285		501	-18.7236
オトグロエリ	乙黒えり	1289		122	-17.7210
オガマ	巨釜	1293		501	-17.7008
オリカサネン	折りかさねん	620		501	-18.0862
オモイシラ	思い知ら	780		479	-12.0734
オーバーヘッド		1288		431	-13.2547
オコナッテミタイ	行ってみたい	831	444	17	-11.0441
オカザキシンジ	岡崎慎司	1289		122	-14.2000
オヤキ	親機	1288		501	-14.6778
オオワダシンヤ	大和田伸也	1289		122	-17.1870
オカセ	侵せ	734		43	-10.7884
オトナノジョセイ	大人の女性	1288		324	-13.0860
オタフクカゼ	オタフク風邪	1285		501	-18.0817
オシハカレヨ	推し量れよ	624		501	-15.1294
オイハラウ	追い払う	817		438	-10.8891
オカサ	おかさ	733		30	-11.5440
オイハラッ	追い払っ	829		438	-10.9201
オオシマナギサ	大島渚	1289		179	-12.7009
オオタキハン	大多喜藩	1288		72	-14.5913
オノフユミ	小野不由美	1289		393	-13.5066
オイダシャ	追出しゃ	730		501	-16.6383
オタマ	お玉	1291		74	-18.1724
オヤナマコ	親ナマコ	1285		501	-18.7236
オロセ	卸せ	734		92	-11.6450
オロダニ	小路谷	1293		501	-17.7008
オレクビ	折首	1285		501	-18.7236
オオカワケイジロウ	大川慶次郎	1289		245	-13.2578
オオヒロマ	大広間	1285		414	-13.4570
オギノメヨウコ	荻野目洋子	1289		67	-13.7273
オキノス	沖洲	1293		82	-17.7008
オスイヌ	オス犬	1285		501	-18.0817
オソ	捺そ	732		256	-13.6943
オクシガオ	臆し顔	1285		501	-18.6282
オソレオオケリャ	畏れ多けりゃ	15		495	-12.9038
オモリ	重り	788		501	-16.6943
オモイツカ	思いつか	683		268	-8.6193
オトコウケ	男ウケ	1285		17	-13.3904
オモンジレ	重んじれ	617		43	-10.9406
オシノケリャ	押し退けりゃ	618		501	-14.2083
オルシーニ		1288		492	-14.5203
オサキフォロー	お先フォロー	1285	1283	17	-13.5155
オイハラエン	追い払えん	620		501	-16.1905
オサダ	お貞	1291		501	-18.1724
オプシン		1285		83	-15.5208
オヤガワ	親側	1285		501	-18.7236
オウギガタ	扇型	1285		501	-18.8289
オガメ	拝め	760		32	-10.2405
オヨギ	泳ぎ	1285		220	-13.1070
オワレル	終れる	919		501	-18.2406
オソレオイイ	畏多い	19		501	-18.5107
オブシ	雄節	1291		501	-21.5057
オス	圧す	731		501	-12.2389
オッシャル	おっしゃる	792		495	-7.7790
オノコ	男	1285		51	-20.3330
オンキョウキキ	音響機器	1288		139	-13.1633
オセッ	おせっ	19		501	-11.9763
オニガミ	鬼神	1285		32	-18.7236
オッカブス	押っ被す	731		501	-17.4749
オサマル	収る	772		501	-18.9344
オオガイ	大貝	1290		501	-16.1836
オシツマン	押しつまん	782		501	-18.5466
オモンミヨ	惟みよ	624		501	-18.2399
オオゼキショウシン	大関昇進	1288		124	-12.7682
オレオマエ	俺お前	1306		17	-13.1056
オリコマ	折りこま	764		501	-15.4634
オモイトメル	思い止める	619		501	-18.2480
オヤモ	親も	1285	262	17	-10.9528
オオノ	大野	1290		344	-9.9257
オキドコロ	置き所	1285		501	-18.7236
オオコウチナナコ	大河内奈々子	1289		122	-16.2450
オモイハ	想いは	1285	261	17	-11.3648
オルタネイティブ	Alternative	1288		453	-14.4902
オチアッ	落合っ	829		501	-18.3179
オチイッ	おちいっ	786		249	-13.5005
オメガバ		1285		501	-15.1105
オリサク	織作	1290		501	-15.2275
オーギュスト・コント		1289		291	-13.8736
オサメヒキイル	治め率いる	619		501	-18.4303
オソナワッ	遅なわっ	786		501	-18.5724
オイカケル	追掛ける	619		501	-18.6535
オカラ	御殻	1285		501	-18.7236
オモイノホカ	思いのほか	1285		48	-14.0819
オカ	冒	1288		501	
オープンカ	オープン化	1283	1297	17	-13.4064
オクヌキ	奥貫	1290		501	-14.7805
オオシカラ	男男しから	47		501	-17.5378
オオカミ	おおかみ	1285		501	-18.9467
オサム	脩	1291		128	-11.7418
オシエテクダサイ	教えて下さい	625	1239	17	-11.0858
オリガミ	おり紙	1285		501	-19.2344
オコセリャ	興せりゃ	618		501	-16.8775
オオガタケン	大型犬	1288		127	-13.2753
オオクラ	大藏	1290		403	-13.9467
オススメホン	おすすめ本	1283	1285	17	-12.9924
オキナオル	起き直る	772		501	-16.8142
オヨバナイ	及ばない	756	473	17	-11.4198
オーブイアイエス	ovis	1285		501	-17.9351
オゴオリ	小郡	1293		349	-13.1554
オオホシ	大星	1285		285	-18.7236
オコラ	おこら	780		192	-11.1811
オジャルマル	おじゃる丸	1291		80	-17.8847
オドシ	威	1285		58	-18.7236
オシガリ	押し借り	1285		501	-17.4998
オチコボレ	落ちこぼれ	622		501	-13.9518
オオサカトリヒキジョ	大阪取引所	1288		206	-14.6519
オオサキシ	大崎氏	1288		464	-13.6910
オドカセ	威かせ	729		501	-17.6467
オナカ	お腹	1285		161	-9.6397
オモオモシケレ	重重しけれ	40		501	-17.5916
オタクムケ	オタク向け	1288		113	-14.7836
オゴリタカブル	奢り昂る	772		501	-18.4236
オウネツ	黄熱	1285		192	-18.6282
オニゴエトマホーク	鬼越トマホーク	1289		122	-13.1030
オンラインセミナー		1285		17	-12.7464
オコナオ	行お	822		78	-4.1079
オウエンキカク	応援企画	1283		17	-13.0626
オクヅメ	奥詰め	1285		501	-18.7236
オドロオドロシケリャ	おどろおどろしけりゃ	41		460	-12.7262
オイダセヨ	追い出せよ	624		501	-16.3836
オキヅリ	沖釣	1285		501	-18.7236
オグラ	おぐら	11		501	-16.8244
オドラス	躍らす	731		501	-17.6572
オモイシラシャ	思い知らしゃ	730		501	-11.1757
オレコム	折れ込む	762		501	-16.4973
オロセリャ	下ろせりゃ	618		220	-13.2578
オチブレ	落ちぶれ	625		427	-12.7371
オチカワ	落川	1290		501	-16.0640
オオワライ	大わらい	1283		501	-18.1494
オヤヤ	おやや	1291		501	-17.8847
オソロシュウ	恐ろしゅう	49		212	-8.6384
オフロハイッ	お風呂入っ	560	786	17	-11.2177
オオヤ	大谷	1290		330	-9.9055
オシワリ	押し割り	1285		501	-18.7236
オモイトマロ	思い止ろ	778		501	-18.5469
オモテウチ	表打ち	1285		501	-18.7236
オトミ	乙見	1293		501	-17.0077
オボエコム	覚え込む	762		501	-16.5486
オエヨ	負えよ	621		479	-12.1210
オレハ	オレは	1306	261	17	-10.2902
オカメザサ	お亀笹	1285		501	-19.2344
オクリカエシ	送り返し	735		427	-11.5718
オオツバキ	大椿	1290		122	-20.7530
オルフェ		1289		401	-13.0305
オレタチヒョウキンゾク	オレたちひょうきん族	1288		409	-13.6544
オランジェット		1288		501	-14.6091
オドレ	躍れ	768		460	-11.6978
オナカ	おナカ	1285		501	-18.7236
オイチラセ	追いちらせ	729		501	-17.4644
オカノマサユキ	岡野雅行	1289		122	-19.8890
オウエツ	黄鉞	1285		501	-18.6282
オカハラ	岡原	1290		159	-14.6535
オレセン	折線	1285		501	-18.6282
オオシマヨウコ	大島蓉子	1289		122	-21.6810
オドケ	詼謔	1285		501	-18.7236
オウカガイシ	お伺いし	560	610	17	-11.1974
オシトオセロ	押し通せろ	623		501	-15.5916
オウヨウ	汪洋	1291		501	-15.9752
オモッテタラ	思ってたら	829	433	17	-9.8985
オウシン	王親	1285		501	-18.6282
オヒッコシ	お引越し	1288		184	-13.3479
オンガクヒョウロンカ	音楽評論家	1288		196	-12.4078
オオドコロ	大どころ	1285		501	-18.8289
オソレオウイ	畏れ多い	19		495	-13.7112
オモシガワリ	重しがわり	1285		501	-18.7236
オエヨ	お江与	1291		501	-17.8847
オドカシ	威かし	735		501	-17.7286
オイデ	御出で	1285		501	-18.7236
オシマケル	押し負ける	619		501	-15.8086
オモキ	おもき	1285		501	-15.2252
オンノジ	御の字	1285		501	-14.2602
オキモチ	お気持ち	1288		479	-11.2885
オーロラビジョン		1288		316	-14.2153
オテンバ	お転婆	1287		66	-18.0477
オイテル	置いてる	687	307	17	-11.2898
オビエル	慴える	619		501	-18.9412
オトコザワ	男沢	1290		501	-17.7354
オオカタ	おおかた	1285		54	-18.9467
オエン	お娟	1291		501	-17.8847
オクリモノ	贈りもの	1283		389	-14.2414
オモイステル	思い捨てる	619		501	-18.6535
オリタタン	折りたたん	766		292	-11.1064
オリヒメ	織姫	1285		74	-13.5924
オイシキャ	美味しきゃ	42		75	-6.3211
オマエ		1306		420	-11.1444
オリンパス		1292		168	-11.5080
