ガンユウ	含有	1283		405	-11.5056
ガンデンポタン		1292		135	-12.4554
ガンカンジャ	癌患者	1285		17	-13.4449
ガチ	曷	1288		501	
ガサガル	が下がる	148	772	17	-10.8889
ガコイ	囲	1285		395	-15.4928
ガシュ	芽腫	1285		501	-18.6282
ガボッパツ	が勃発	148	1283	17	-11.2205
ガリベン	ガリ勉	1285		51	-14.4985
ガイゼンセイ	蓋然性	1285		351	-13.4364
ガツク	が付く	148	679	17	-11.2046
ガエンズル	肯ずる	592		501	-15.0028
ガヤガヤ		1281		501	-13.2185
ガラカラ	辛から	27		48	-18.2107
ガルーダ		1289		459	-13.1786
ガサイコウニ	が最高に	148	151	17	-11.2766
ガハッセイスル	が発生する	148	599	17	-10.4950
ガー		1289		166	-16.7429
ガイトウ	該当	1283		375	-9.6281
ガンダレ	がん垂れ	1285		501	-18.9467
ガタカレ	難かれ	29		48	-10.1893
ガアキラカ	が明らか	148	1287	17	-10.4164
ガヤリタイ	がやりたい	148	444	17	-10.8677
ガンダムシリーズ		1288		322	-12.2403
ガイセツ	凱切	1287		501	-17.4416
ガタカンショウ	型鑑賞	1298	1283	17	-12.8847
ガイハンボシ	外反母趾	1285		457	-15.1705
ガング	がん具	1285		501	-18.9467
ガリバン	がり版	1285		501	-18.9467
ガメツカラ	がめつから	27		76	-13.6631
ガイ	Guy	1288		151	-14.2194
ガンロウ	頑陋	1287		501	-17.5369
ガル		1300		149	-16.2782
ガンダーラ		1293		94	-12.3461
ガエ	替え	622		379	-16.2012
ガムリョウ	が無料	148	1285	17	-11.2955
ガンユウリョウ	含有量	1288		405	-12.1998
ガホシク	が欲しく	148	51	17	-11.0272
ガタシ	難し	23		48	-9.9060
ガパオ		1288		501	-14.5121
ガイコクギンコウ	外国銀行	1288		486	-14.9501
ガメンジョウ	画面上	1285	1305	17	-12.0031
ガール	がーる	1285		80	-15.1580
ガンキョウ	頑強	1287		169	-11.7993
ガタツ	が立つ	148	738	17	-11.1619
ガンナ	鉋	1285		4	-18.9467
ガクチョウ	楽長	1285		98	-13.3362
ガスキ	が好き	148	689	17	-10.5712
ガスベテ	がすべて	148	1314	17	-10.7423
ガクジン	学人	1285		128	-18.6282
ガカク	画角	1285		139	-18.6282
ガアットウテキ	が圧倒的	148	1287	17	-10.6904
ガカリ	係	1298		123	-9.9738
ガンジス		1293		432	-13.0271
ガクソク	学則	1285		85	-14.7544
ガドンドン	がどんどん	148	1282	17	-10.3615
ガクエンサイ	学園祭	1288		224	-11.8339
ガバレ	がバレ	148	625	17	-11.4347
ガッペイトクレイホウ	合併特例法	1288		86	-14.2861
ガケヅタイ	崖づたい	1285		501	-18.7236
ガニガテデ	が苦手で	148	458	17	-11.3487
