ケン	剣	1293		26	-17.6906
ケンカ	顕花	1285		501	-18.6282
ケンソク	験測	1285		501	-18.6282
ケブカカッ	けぶかかっ	33		501	-17.2744
ケンタン	健啖	1287		501	-17.1584
ケッテイ	けってい	1283		331	-18.6884
ケンゴ	顕吾	1291		501	-18.1724
ケショウヒンメーカー	化粧品メーカー	1288		274	-14.3221
ケイゴ	啓五	1291		501	-18.1724
ケンノスケ	賢之助	1291		501	-16.2265
ケ	髻	1288		501	
ケイカイ	境界	1285		381	-18.6282
ケンリュウ	検流	1285		501	-18.6282
ケイザン	渓山	1285		104	-18.6282
ケツブン	欠文	1285		501	-17.6588
ケイシキテキ	形式的	1288		456	-11.7460
ケイセン	荊川	1289		501	-17.9060
ケイバヒョウロンカ	競馬評論家	1288		324	-13.8606
ケンジョウ	剣城	1290		501	-17.7354
ケクズ	毛屑	1285		501	-18.7236
ケノ	毛野	1290		464	-12.1286
ケッキョクイマ	結局今	1314		17	-12.8627
ケッセン	血栓	1285		192	-12.9842
ケヒノ	笥飯	1293		501	-17.5467
ケイシ	けいし	587		501	-15.2472
ケイジソショウ	刑事訴訟	1288		456	-13.4964
ケタテ	蹴立て	625		501	-18.7275
ケダシ	蹴出し	1285		501	-17.4998
ケブリャ	烟りゃ	770		501	-16.8675
ケイエイジョウキョウ	経営状況	1283	1285	17	-12.9549
ケセ	消せ	622		268	-11.6738
ケンジロウ	虔次郎	1291		501	-18.1724
ケイサイ	けいさい	1291		501	-17.8847
ケイカイ	軽かい	1283		501	-17.9953
ケイオウハチオウジエキ	京王八王子駅	1293		321	-13.6525
ケンキュウブ	研究部	1283	1298	17	-12.3973
ケチガエヨ	蹴違えよ	621		501	-18.9364
ケンノ	県の	1285	368	17	-11.1202
ケイカイ	経回	1285		501	-18.6282
ケッセキ	闕席	1283		501	-18.0694
ケシテ	消し手	1285		501	-18.7236
ケンジ	賢二	1291		439	-13.1577
ケンジ	健至	1291		501	-17.4792
ケッサツ	結紮	1283		183	-15.1073
ケンゼン	けん全	1287		501	-17.6422
ケンタッキー		1293		138	-11.3095
ケンリョウ	倹亮	1291		501	-18.1724
ケンノウ	検納	1283		501	-18.0694
ケイカゴ	経過後	1283	1305	17	-13.4449
ケイザイシエン	経済支援	1288		79	-13.8649
ケバカッ	ケバかっ	33		501	-14.1877
ケイジョシ	系女子	1298	1285	17	-12.4142
ケイトク	慶徳	1290		114	-17.7354
ケントウガメン	検討画面	1283	1285	17	-13.3494
ケンゴウ	権豪	1285		501	-18.6282
ケイジョウシュウシ	経常収支	1288		286	-13.6029
ケイゾクリョク	継続力	1283	1298	17	-12.6852
ケン	愆	1288		501	
ケンカン	建艦	1285		501	-18.6282
ケッソク	結束	1285		133	-14.1706
ケイチン	警枕	1285		501	-18.6282
ケイゲ	罣礙	1285		501	-18.6282
ケイソウド	珪藻土	1285		142	-14.3599
ケイビタイク	警備隊区	1288		171	-14.8405
ケイツウ	慧通	1291		501	-18.1724
ケダルカッ	けだるかっ	33		460	-14.8122
ケイ	兄	1285		97	-17.1294
ケンキョウ	祆教	1285		501	-18.6282
ケイオウギジュクダイガクイガクブ	慶應義塾大学医学部	1292		501	-13.0201
ケタ	桁	1285		454	-11.5193
ケイショウ	軽症	1285		192	-12.8984
ケホ	けほ	1281		501	-13.9678
ケイオウハチオウジ	京王八王子	1293		467	-13.5254
ケイ	磬	1291		4	-17.4792
ケザシ	毛刺	1285		501	-18.7236
ケイサンモンダイ	計算問題	1283	1284	17	-13.1709
ケッコンシナイ	結婚しない	1288		479	-13.0375
ケアゲリャ	蹴上げりゃ	618		501	-18.0961
ケイサン	けいさん	1285	1302	17	-12.5168
ケバタタ	毳立た	740		501	-15.4623
