シハンガッコウ	師範学校	1292		253	-10.7885
ショウ	翔	1291		370	-9.7231
シチクドシ	しちくどし	23		501	-17.9876
シタウチ	下打ち	1285		501	-18.7236
ショクショ	飾緒	1288		123	-14.4696
シオタ	潮田	1290		159	-18.6517
シミトオル	染み透る	772		501	-17.1998
ショシ	諸誌	1285		501	-18.6282
シンゾウ	愼藏	1291		501	-18.1724
シメス	示す	731		481	-6.6537
ショウカキュウシュウ	消化吸収	1283		17	-13.1357
シズヤ	静弥	1291		501	-18.1724
シマムラユウ	嶋村侑	1289		122	-18.3640
シュヒ	種皮	1285		487	-14.3333
シラヤマ	白山	1289		404	-18.4168
シン		1299		149	-16.3117
シュクハクケン	宿泊券	1288		501	-14.6730
シュウ	鰌	1288		501	
シンダンキジュン	診断基準	1288		192	-12.5478
ショボーッ	しょぼーっ	1281		501	-17.6734
シュツゴク	出獄	1283		133	-13.5210
シッサク	失策	1283		377	-12.0463
ショウ	厰	1285		501	-18.6282
シュショウ	首相	1285		215	-9.4817
シヨウ	子容	1289		501	-17.9060
シンゾク	親族	1285		97	-10.8095
ショウジュウリン	小獣林	1289		501	-17.9060
シタモツレ	舌縺れ	1285		501	-18.7236
シオジメ	塩締め	1285		501	-18.7236
シタホカ	したほか	610	1314	17	-11.3173
シュウゾウ	周藏	1291		501	-16.5629
ショウギョウコウトウガッコウ	商業高等学校	1288		253	-12.7713
シリ	後	1285		282	-19.9275
シミワタン	染み渡ん	782		501	-12.9352
シモウ	しもう	304	1281	17	-11.2766
シオエ	潮江	1293		371	-14.1136
シタイヨル	慕い寄る	772		501	-18.4236
シーエスエル	csl	1288		501	-17.6581
シンジコメヨ	信じ込めよ	621		501	-16.9716
シアワセナコト	幸せなこと	1287	1310	17	-11.3631
シカト	しかと	1283		54	-19.0249
ショウニョ	勝如	1289		501	-17.9060
シ	し	776		437	-11.1210
シュセキシキシャ	首席指揮者	1285	1298	17	-13.4281
シダレヨ	枝垂れよ	621		501	-15.6283
ショウケイ	昭奎	1291		501	-18.1724
シュウキン	集禁	1285		501	-18.6282
シュンソク	俊足	1285		198	-12.8123
シッキリ	しッきり	1285		501	-19.2344
シンキクサカラ	辛気臭から	27		501	-13.8199
シタシキャ	親しきゃ	42		97	-9.0914
ショウネンザッシ	少年雑誌	1288		393	-14.5830
シオン	志音	1291		501	-18.1724
シャクシャク	綽綽	1285		501	-18.8289
シマヨシタケ	島義勇	1289		108	-13.8807
ショウヒン	小品	1285		416	-13.1839
ショウヒンリンク	商品リンク	1285	1283	17	-13.3494
シカタバナシ	仕方話	1285		501	-18.7236
シバモトユキ	柴本幸	1289		122	-17.9590
シャクナゲ	石南花	1285		501	-17.3126
ショドウシ	初動死	1285	1297	17	-13.5405
シツケイト	しつけ糸	1285		501	-19.2344
シミズヨコスナ	清水横砂	1293		501	-17.7008
シンバ		1289		51	-12.8366
シュキョク	主局	1285		501	-18.6282
シボン	しぼん	782		389	-12.4454
シ	址	1298		435	-12.6059
シノビャ	偲びゃ	753		438	-10.3449
シズメ	鎮め	1285		301	-18.7236
シュミット		1290		255	-11.5933
シュエンジョユウショウ	主演女優賞	1288		313	-12.6301
シリウスコミックス		1285		501	-15.0447
シンカイマコトカントク	新海誠監督	1289		501	-12.8296
シラジラシュウ	しらじらしゅう	49		501	-17.5378
シャメン	斜面	1285		220	-11.4841
ショウテン	小店	1285		501	-17.0711
シ	咨	1288		501	
シフン	脂粉	1285		501	-16.9901
ショブン	處分	1283		501	-17.9953
