スジボリ	スジ彫り	1285		501	-18.0817
スゴイト	凄いと	19	164	17	-11.4306
スリハリ	摺針	1293		501	-17.7008
スゴイヨ	凄いよ	19	288	17	-10.8276
スルジカン	する時間	599	1314	17	-10.5519
スレアウ	擦れあう	817		501	-15.4937
スグ	儁	1288		501	
スイエン	水焔	1285		501	-18.6282
スイイチロウ	萃一郎	1291		501	-18.1724
スリイシ	磨石	1285		4	-18.7236
スルガシンコウ	駿河侵攻	1288		498	-14.2126
スワレル	座れる	619		471	-11.7187
スイガイ	水涯	1285		501	-18.6282
スリミ	すり身	1285		75	-13.7715
スナハライ	砂払	1293		501	-16.0981
スコットランドオウコク	スコットランド王国	1288		446	-14.5249
スイ	揣	1288		501	
スキギ	透き木	1285		501	-18.7236
スケーリング		1288		65	-14.3595
スギヤ	杉谷	1290		122	-13.4400
ステーション	station	1285		107	-17.8906
スワリゴコチ	坐り心地	1285		501	-18.7236
スパイファミリー		1288		501	-13.7893
スキヲ	好きを	1287	156	17	-11.3561
スガスガシイ	清々しい	19		460	-18.5107
スダシンイチロウ	須田慎一郎	1289		122	-20.1960
スマイ	すまい	1285		80	-19.4167
スマナク	済まなく	35		479	-11.2784
スミカ	住処	1285		499	-13.1437
ストレイ	Stray	1289		376	-13.1473
スルガ	駿河	1290		498	-10.6970
スガレン	縋れん	620		501	-15.9580
スレン	刷れん	620		501	-15.5871
スイフンカ	綏芬河	1293		501	-17.7008
スン	棲ん	766		499	-10.5863
スマシジル	澄し汁	1285		501	-18.7236
スギ	すぎ	925		268	-6.3231
スクリレー		1285		501	-14.3115
スベッコカロ	すべっこかろ	25		501	-17.9867
スズキトオル	鈴木亨	1289		122	-18.6470
スキ	透き	689		501	-17.8559
スミスリ	墨磨	1285		501	-18.7236
スルースキル		1285		17	-13.0487
スキズキ	好きずき	1285		501	-18.6282
スミヨシエキ	住吉駅	1293		321	-13.1867
スキカエソ	漉き返そ	732		501	-17.4724
スイヨ	睡余	1285		501	-18.1929
スイツケロ	吸い付けろ	623		501	-17.2593
スウヒャクニン	数百人	1288		387	-12.4470
スラモ	すらも	258	262	17	-11.0371
スイヨセヨ	吸寄せよ	621		501	-18.6487
ス	十	1288		501	
スズシ	すずし	39		501	-17.6418
スキオリ	透き織	1285		501	-18.7236
スノ	春	1288		501	
スナノワクセイ	砂の惑星	1288		501	-14.4246
スイトレリャ	吸い取れりゃ	618		501	-16.6320
スギ	すぎ	625		268	-8.3183
