センゴウ	煎熬	1283		501	-18.0694
センロッピャクサンジュウキュウネン	1639年	1288		71	-12.9540
セイタイ	正体	1285		26	-15.9743
センガクジ	泉岳寺	1288		148	-13.0997
セッケイ	石経	1285		342	-18.6282
セイソ	成祖	1285		28	-18.6282
セントチヒロノカミカクシ	千と千尋の神隠し	1288		401	-13.3328
センヨンヒャクジュウロクネン	1416年	1288		119	-13.9614
センニヒャクネン	1200年	1288		94	-12.3336
セナカ	脊中	1285		501	-18.7236
セリアゲレ	競り上げれ	617		501	-16.8548
セコ	迫	1288		501	
セガミ	せがみ	767		418	-11.4389
センハッピャクロクジュウネン	1860年	1288		71	-11.5945
センザキ	仙崎	1290		114	-17.7354
センリョウ	線量	1285		23	-13.2213
セウタ		1293		373	-13.1240
セイチク	成畜	1285		501	-18.6282
セキトメル	堰きとめる	619		501	-18.2480
セカイミズフォーラム	WWF	1288		141	-11.5461
セイカ	盛夏	1285		112	-14.5333
セツヤクセイカツ	節約生活	1283		17	-13.4913
セツメイシマス	説明します	1283	491	17	-11.2848
センナイ	船内	1285		320	-12.3742
センロッピャクゴジュウハチネン	1658年	1288		119	-13.0087
セイショク	生植	1285		501	-18.6282
センナナヒャクキュウネン	1709年	1288		71	-12.7900
セイケイ	成慶	1291		501	-18.1724
セルビアジン	セルビア人	1288		408	-12.0557
セメホロボス	攻めほろぼす	731		501	-17.4749
セキドウギニア	赤道ギニア	1294		272	-12.2684
セイヨウ	聖陽	1291		122	-13.3460
セメノボリャ	攻上りゃ	770		501	-18.5465
セイダシャ	精出しゃ	730		501	-16.5684
セイノスケ	精之助	1291		501	-18.1724
センリョクガイツウコク	戦力外通告	1288		306	-11.5864
セイレイノモリビト	精霊の守り人	1288		501	-14.8731
センリツ	戦慄	1283		212	-12.6167
センジジル	煎じ汁	1285		501	-18.6282
セリアイ	競り合い	1283		63	-15.4676
セイリョクカクダイ	勢力拡大	1288		501	-12.4484
センハッピャクロクジュウキュウネン	1869年	1288		71	-11.0340
セツゾクスル	接続する	1283	599	17	-11.0534
センシュツ	先出	1285		501	-18.6282
セイダ	せいだ	1310	453	17	-10.2389
セイズ	星図	1285		210	-14.2050
センシ	詮子	1291		501	-18.1724
セイゼンソウ	生前葬	1288		152	-14.7355
セイドウ	聖堂	1285		130	-11.7276
セメカケロ	攻め懸けろ	623		501	-18.6456
センジン	千尋	1285		370	-18.8289
セイキロウ	青葵朗	1291		501	-18.1724
セイト	聖徒	1285		199	-15.1251
センジョウ	洗じょう	1283		501	-18.0694
セントウダン	戦闘団	1288		53	-13.6489
センロメイショウ	線路名称	1285		17	-13.4064
セバ	狹	1288		501	
センナナヒャクゴジュウサンネン	1753年	1288		71	-13.0927
セイサ	制さ	586		258	-9.7843
セキヒョウ	石冰	1289		501	-17.9060
セイネツ	清熱	1285		501	-18.6282
セイブツ	斉物	1285		501	-18.6282
センサンビャクサンジュウゴネン	1335年	1288		119	-13.3889
センケンジコウ	専権事項	1288		156	-14.9265
セキシマ	関島	1290		501	-17.7354
セイグ	性具	1288		152	-14.9692
セキスケ	績介	1291		501	-17.0738
セワタ	背腸	1285		501	-18.7236
センシュボウエイ	専守防衛	1285		53	-14.2653
セイアン	清庵	1291		501	-17.8847
セイカ	斉家	1285		501	-18.6282
セイビョウ	成猫	1285		501	-18.6282
セラ	世良	1290		344	-12.2772
セリニン	競り人	1285		501	-18.6282
センテイコウ	選帝侯	1288		446	-11.6947
センガ	千賀	1290		497	-17.5531
センベツ	せん別	1285		501	-18.9467
センゼン	戦前	1285		356	-10.2469
セタ		1288		274	-17.6068
セイシ	精子	1285		355	-12.1278
セイロ	青蘆	1285		501	-18.6282
センゴヒャクナナジュウゴネン	1575年	1288		119	-12.5242
セグウェイ		1292		319	-12.8218
センジツ	選日	1288		482	-14.1380
セイラ	聖羅	1291		501	-14.5454
セイキ	聖輝	1288		501	-18.5231
セイリテキ	生理的	1288		192	-12.1124
セイアン	成案	1285		436	-15.0432
セリガイ	競り買い	1285		501	-18.7236
セキアゲル	塞き上げる	619		501	-18.4303
セワシ	忙わし	39		501	-18.1526
センジョウノメリークリスマス	戦場のメリークリスマス	1288		401	-13.7419
セキコミ	急き込み	767		501	-17.2013
セメロ	攻めろ	623		411	-9.6468
センユウカ	仙遊霞	1288		501	-18.5231
セッキンオン	接近音	1288		327	-14.2412
セツナウ	切なう	31		460	-9.6281
センサ	選砂	1285		501	-18.6282
セッケン	石鹼	1285		501	-18.6282
セノビ	せのび	1283		501	-19.0249
セキュリティー	security	1285		15	-17.8906
セフレ		1288		501	-11.8177
セリャ	糶りゃ	770		501	-18.7696
センヨンヒャクナナジュウハチネン	1478年	1288		119	-13.7935
センジャク	繊弱	1287		501	-16.0328
セカイフシギハッケン	世界ふしぎ発見	1288		501	-14.9990
センケイケツゴウ	線型結合	1288		447	-14.1380
セイカツク	生活苦	1285		42	-13.9434
セイソウ	聖槍	1288		222	-14.4875
セイカツキバン	生活基盤	1288		501	-13.4169
セイオウ	静翁	1291		501	-18.1724
セント・ジョージ		1288		130	-14.9543
セイイン	正院	1285		403	-18.6282
センネイ	選寧	1291		501	-18.1724
セイレイ	制令	1285		86	-16.1978
セガイ	瀬和井	1288		501	-18.5231
セイチャク	正嫡	1285		369	-14.8020
セイキョウブンリゲンソク	政教分離原則	1288		456	-14.5364
セメヨセ	攻め寄せ	622		394	-12.9281
センジュツ	仙術	1285		212	-14.9830
センチャ	煎茶	1285		75	-13.5524
セツゲッカ	雪月花	1285		114	-14.6893
セイブチチブセン	西武秩父線	1288		280	-14.1861
セセコマシク	せせこましく	51		501	-17.7013
セバンゴウジュウイチ	背番号11	1288		306	-14.8640
セイムジカン	政務次官	1285		191	-12.5820
センキュウヒャクサンジュウロクネ	1936年	1288		237	-10.1742
セキジツ	石日	1291		501	-18.1724
セキラン	赤瀾	1285		501	-18.6282
セイサクシュウダン	政策集団	1288		131	-14.9543
セッカ	雪花	1285		392	-18.6282
セイレキ	西れき	1285		501	-18.6282
セイマ	性魔	1285		501	-18.6282
