ダンヤクコ	弾薬庫	1285	1298	17	-12.9956
ダンラン	団欒	1283		290	-14.1046
ダンシュ	断首	1283		501	-18.0694
ダフル	ダフる	772		501	-17.3250
ダケダトオモウ	だけだと思う	338	817	17	-11.3417
ダイガン	代願	1283		345	-17.4154
ダブリュービーユー	wbu	1285		501	-17.9351
ダンニュウ	断乳	1288		501	-14.4757
ダマリコクレ	黙りこくれ	768		501	-16.5614
ダンイセン	段位戦	1285	1298	17	-13.2596
ダンチョウ	団長	1285		123	-11.7213
ダケジャナイ	だけじゃない	338	473	17	-10.0847
ダメ	溜	1285		3	-19.2344
ダートマス		1288		138	-14.1164
ダンカタ	檀方	1285		501	-18.6282
ダヨネ	だよね	436	279	17	-11.3792
ダサ	ださ	11		501	-10.0124
ダクサン	沢山	1287		290	-17.6422
ダベン	駄べん	782		501	-17.3834
ダイニチニョライ	大日如来	1285		32	-13.4607
ダマス		1289		484	-14.6871
ダイヤモンド	DIAMOND	1288		302	-14.5054
ダッタトオモイ	だったと思い	457	832	17	-10.8626
ダイ	だい	1285		331	-11.3378
ダイコウ	大工	1285		311	-19.9275
ダイコンノハ	大根の葉	1288		501	-14.4665
ダル		1287		149	-16.8437
ダイドー		1288		203	-14.8286
ダイコ	だいこ	1285		501	-19.4167
ダイドウスジ	大道筋	1288		450	-14.9480
ダウンサイジング		1285		351	-13.7963
ダイエットホウホウ	ダイエット方法	1288		501	-13.9530
ダセ	出せ	729		481	-6.1486
ダシカイキン	出し解禁	1298	1283	17	-12.2454
ダッタン	だったん	457	1310	17	-8.6577
ダケ	嵩	1290		128	-17.9586
ダシ	だし	453	304	17	-7.6653
ダンセイタチ	男性たち	1285	1298	17	-12.6701
ダイキュウ	代休	1285		297	-18.4612
ダンショウ	断章	1285		458	-14.0435
ダンジョケンヨウ	男女兼用	1288		295	-14.0073
ダイセン	題扇	1285		501	-18.6282
ダイワギンコウ	大和銀行	1292		378	-12.3331
ダッチ	dutch	1285		501	-17.9351
ダッテ	だって	271		17	-7.2047
ダイタスウ	大多数	1288		501	-10.8906
ダキスクメリャ	抱き竦めりゃ	618		501	-18.2213
ダトイッ	だと言っ	453	830	17	-10.4847
ダマラ	黙ら	780		208	-9.7168
ダンブクロ	段袋	1285		501	-18.6282
ダイバク	大爆	1285		501	-18.7236
ダイスキダカラ	大好きだから	1287	297	17	-10.7594
ダテロ	立てろ	623		438	-18.4225
ダイギンジョウ	大吟醸	1288		93	-14.1439
ダッソウヘイ	脱走兵	1288		490	-13.7788
ダンジョキョウガク	男女共学	1288		253	-12.2329
ダジャレ	だじゃれ	1285		152	-18.9467
ダンセイノイクキュウ	男性の育休	1288		501	-14.3944
ダッ	脱	1283		405	-12.9114
ダブリューピーオー	wpo	1285		501	-17.9351
ダイナナセツ	第7節	1288		178	-13.9900
ダイナミックレンジ		1288		351	-13.9240
ダベン	駄弁	1285		501	-15.0041
ダセル	だせる	919		481	-18.0583
ダンバー		1285		417	-15.2896
ダテ	佇て	736		501	-17.0230
ダテソウドウ	伊達騒動	1288		148	-14.5300
ダンキ	弾機	1285		501	-18.6282
ダイヤ	◇	1288		501	-20.6667
ダチ	立ち	1285		356	-18.7236
ダイゴ	DAIGO	1289		67	-12.7474
ダイリキ	大力	1287		74	-16.0553
ダブルブッキング		1288		170	-14.6126
ダンボウ	暖房	1283		174	-11.1004
ダンテ		1289		204	-11.2945
ダータン	大糖	1285		501	-18.3181
ダイオンリョウ	大音量	1288		132	-12.5009
ダキ	瀧	1285		330	-18.9467
ダクテン	濁点	1285		327	-13.6754
ダンタイ	暖帯	1285		116	-15.4248
ダンスユニット		1288		67	-14.5476
ダクスレ	だくすれ	581		501	-16.8869
ダメダヨ	ダメだよ	1287	288	17	-9.8365
ダソレ	だそれ	453	1306	17	-11.4306
ダイカイ	大楷	1285		501	-18.6282
ダンパツ	断髪	1283		124	-13.8663
ダイセイコウ	大成功	1288		356	-11.2757
ダンゼ	断ぜ	595		479	-10.7363
ダイガク	大がく	1285		501	-18.3871
ダシテ	だして	1053	307	17	-11.1856
