ヅカマン	捕まん	774		91	-18.5466
ヅカ	柄	1288		501	
ヅテ	傳	1288		501	
ヅミ	積み	1285		270	-11.4778
ヅクル	作る	772		481	-18.9344
ヅカマッ	掴まっ	786		379	-18.5724
ヅケヨ	づけよ	624		481	-9.8068
ヅキャ	搗きゃ	677		93	-18.1218
ヅクメ	尽くめ	1298		501	-18.1108
ヅタ	づた	1285		501	-19.2344
ヅモリ	積	1288		501	
ヅキアイ	づき合い	1285		501	-19.2344
ヅケル	着ける	919		379	-18.2406
ヅカ		1293		501	-16.6022
ヅラク	辛く	35		48	-18.5807
ヅキアイ	づきあい	1298		290	-12.8113
ヅメ	詰	1298		231	-17.9566
ヅクロイ	繕	1285		501	-18.8289
ヅリ	づり	1285		114	-19.6398
ヅクリヲ	作りを	1298	156	17	-11.2721
ヅキ	づき	1298		437	-18.2931
ヅキ	づき	689		437	-9.6822
ヅキツリ	ヅキ釣り	1285		501	-18.0817
ヅカマ	掴ま	776		379	-18.5488
ヅコ	衝こ	681		438	-18.1248
ヅカマエ	捕まえ	622		438	-18.4370
ヅクル	創る	772		438	-18.2413
ヅカマエン	捕まえん	620		438	-18.4227
ヅキヨ	づきよ	1285		501	-19.0802
ヅカイ	遣	1298		193	-18.5163
ヅラケレ	づらけれ	107		48	-6.6563
ヅケ	付	1283		12	-23.3366
ヅタイ	づたい	1298		501	-18.5163
ヅツミ	づつみ	1285		200	-19.2344
ヅキ	付	1283		12	-23.3366
ヅト	苞	1288		501	
ヅライ	辛い	19		48	-12.7205
ヅクン	作ん	782		481	-19.0574
ヅカマリャ	捕まりゃ	770		91	-18.5465
ヅキアイ	づきあい	1285		290	-19.0802
ヅキツリ	づき釣り	1285		501	-19.2344
ヅケレ	づけれ	617		481	-9.8080
ヅカマエヨ	捕まえよ	624		438	-18.4223
ヅマッ	詰っ	786		479	-18.5724
ヅクレ	作れ	784		481	-19.0573
ヅメ	づめ	1285		437	-18.8289
ヅワリ	づわり	1285		501	-19.2344
ヅラキ	辛き	21		48	-18.4977
ヅケロ	づけろ	623		481	-9.8071
ヅマル	詰まる	772		379	-13.1196
ヅ	都	1288		501	
ヅク	点く	973		501	-16.4677
ヅケチョウリヨウ	付調理用	1298		17	-13.3395
ヅル	づる	1285		437	-13.6323
ヅタ		1285		501	-18.1358
ヅレ	連れ	1298		427	-10.7346
ヅカマル	掴まる	772		379	-16.1128
ヅカマラ	掴まら	780		379	-18.5517
ヅヨウ	強う	31		43	-18.5068
ヅカソ	尽かそ	732		501	-17.6547
ヅマン	詰ん	774		479	-18.5466
ヅヨイ	づよい	19		501	-18.3284
ヅキアイ	付きあい	1285		501	-18.7236
ヅライ	づらい	113		48	-6.9675
ヅケ	づけ	675		437	-9.6672
ヅ	鶴	1288		501	
ヅケ	撞け	675		147	-18.1286
ヅケコース	付コース	1298	1285	17	-12.6659
ヅケトレイ	付トレイ	1298	1285	17	-13.0284
ヅリ	吊	1285		284	-18.7236
ヅラ		1288		56	-12.7006
ヅカ	づか	683		437	-9.6790
ヅキ	筑	1288		501	
ヅラ	面	1288		501	
ヅル	づる	772		437	-18.4236
ヅメ	詰め	622		379	-18.4370
ヅマリャ	詰りゃ	770		479	-18.5465
ヅケル	づける	919		481	-12.6968
ヅキ	搗き	689		93	-18.1435
ヅモリ	づもり	1285		501	-18.8289
ヅヨケレ	強けれ	13		43	-18.4975
ヅクン	創ん	774		438	-18.3643
ヅク	憑く	973		501	-16.4677
ヅマリ	詰り	788		479	-18.5506
ヅチ	槌	1288		501	
ヅカマエル	捕まえる	619		438	-12.4675
ヅラカッ	辛かっ	33		48	-18.5176
ヅケ	突け	675		379	-17.8409
ヅカ	づか	1285		437	-19.6398
ヅイ	づい	687		437	-9.7208
ヅケヨ	づけよ	621		481	-9.8101
ヅナ	繩	1288		501	
ヅキ	突	1288		501	
ヅケル	付ける	919		481	-17.9041
ヅメリャ	詰めりゃ	618		379	-18.4036
ヅカマロ	掴まろ	778		379	-18.5469
ヅケオカズ	付おかず	1298	1285	17	-13.0284
ヅケイ	図形	1285		304	-11.7057
ヅケル	燗ける	919		501	-18.2406
ヅミ	墨	1288		501	
ヅクリ	作り	788		481	-8.8728
ヅイ	髓	1288		501	
ヅラサ	づらさ	105	1304	17	-11.3495
ヅヨイ	靭い	19		501	-18.3284
ヅツ	づつ	1285		304	-19.6398
ヅヨ	強	11		43	-18.6597
ヅクリ	造り	788		481	-11.8206
ヅケデ	付で	1298	149	17	-10.8105
ヅカ	撞か	683		147	-18.1403
ヅノ	づの	1285		501	-19.6398
ヅエ	づえ	1285		150	-19.2344
ヅケル	付る	919		501	-18.7514
ヅケ	付	1298		12	-8.3366
ヅヨカッ	強かっ	33		43	-18.5176
ヅマル	詰る	772		479	-18.4236
ヅカマル	捕まる	772		91	-12.9804
ヅクロ	作ろ	778		481	-19.0577
ヅメ	爪	1285		60	-18.6282
ヅヨケリャ	強けりゃ	15		43	-18.4975
ヅリ	釣り	1298		228	-11.3624
ヅケ	付け	1285		52	-17.8803
ヅマン	詰まん	774		379	-18.5466
ヅダ		1288		190	-14.9865
ヅキ	撞き	689		147	-18.1435
ヅラ	づら	105		48	-6.7807
ヅチ	づち	1285		150	-19.2344
ヅカマン	掴まん	774		379	-18.5466
ヅケ	漬	1298		75	-18.2931
ヅマ	詰	776		479	-18.5488
ヅヨシ	強し	23		43	-18.4984
ヅマリャ	詰まりゃ	770		379	-18.5465
ヅクシ	尽くし	1298		258	-18.2931
ヅレエ	辛え	19		48	-19.0215
ヅメ	詰	1285		231	-18.7236
ヅカサ	づかさ	1285		501	-19.9275
ヅラシ	づらし	117		48	-6.6564
ヅケリャ	づけりゃ	618		481	-9.7882
ヅク	活く	973		501	-16.4677
ヅキ		1300		501	-16.6577
ヅク	附	1288		501	
ヅクリノ	作りの	1298	368	17	-11.3694
ヅイ	撞い	687		147	-18.1822
ヅケ	付	1285		12	-19.6398
ヅクリ	づくり	1298		154	-9.0946
ヅク	づく	679		437	-9.6631
ヅカイ	遣い	1298		4	-10.7246
ヅカレ	疲れ	1298		161	-11.6715
ヅカ	束	1288		501	
ヅク	就く	973		481	-15.9569
ヅヨキ	強き	21		43	-18.4977
ヅカマレ	掴まれ	784		379	-18.5465
ヅテ	伝	1288		501	
ヅメロ	詰めろ	623		379	-18.4225
ヅキアイ	付き合い	1285		97	-14.0643
ヅクリ	作り	1298		258	-8.6503
ヅ	図	1288		501	
ヅヨキャ	強きゃ	17		43	-18.4975
ヅトメ	勤め	1285		258	-18.6282
ヅクン	創ん	782		438	-18.3643
ヅマッ	詰まっ	786		379	-18.5724
ヅカル	付かる	772		501	-18.4236
ヅライ	ヅラい	11	930	501	-17.1933
ヅマレ	詰まれ	768		379	-18.5466
ヅケル	尾ける	919		501	-18.2406
ヅクッ	造っ	786		481	-18.3900
ヅケル	従ける	919		501	-18.2406
ヅクル	造る	772		481	-18.2413
ヅラケレ	辛けれ	13		48	-18.4975
ヅケ	突け	685		379	-17.8397
ヅケドン	漬け丼	1285		501	-18.7236
ヅメ		1285		501	-18.0304
ヅラウ	づらう	125		48	-5.8448
ヅクリヲ	づくりを	1298	156	17	-11.3145
ヅラキャ	辛きゃ	17		48	-18.4975
ヅクッ	作っ	786		481	-19.0832
ヅヨカロ	強かろ	25		43	-18.4975
ヅラカラ	づらから	121		48	-5.8156
ヅカマッ	捕まっ	786		91	-18.5724
ヅケル	附ける	919		501	-18.2406
ヅラ		11		56	-13.8330
ヅカマエ	捕まえ	625		438	-18.5044
ヅケル	跟ける	919		501	-18.2406
ヅカマエレ	捕まえれ	617		438	-18.4235
ヅマロ	詰まろ	778		379	-18.5469
ヅク	搗く	695		93	-14.9647
ヅカセ	尽かせ	734		501	-17.6527
ヅカマエヨ	捕まえよ	621		438	-18.4255
ヅクン	作ん	774		481	-19.0574
ヅケトレイメモリ	付トレイ目盛り	1298	1285	17	-13.0284
ヅケ	づけ	685		437	-9.6661
ヅカイ	づかい	1285		501	-18.7236
ヅカ	衝か	683		438	-18.1403
ヅク	蹤く	973		501	-16.4677
ヅカサ	官	1285		265	-19.9275
ヅチ		1285		501	-18.1358
ヅマ	詰ま	776		379	-18.5488
ヅカ	突か	683		379	-17.8526
ヅタイ	伝い	1298		220	-12.9088
ヅクレ	創れ	768		438	-18.3643
ヅラク	づらく	129		48	-6.8234
ヅカイ	使	1285		403	-18.9467
ヅエエ	強え	19		43	-19.0215
ヅキ	付き	1298		445	-11.8758
ヅカセ	尽かせ	729		501	-17.6467
ヅキ	付	1298		12	-17.6000
ヅラカッ	づらかっ	127		48	-6.7764
ヅクリャ	創りゃ	770		438	-18.3642
ヅク	支く	973		501	-16.4677
ヅナ	縄	1288		501	
ヅヨカラ	強から	27		43	-18.4983
ヅカサ	尽かさ	733		501	-17.6736
ヅク	造	776		481	-18.3665
ヅクル	づくる	772		501	-18.2413
ヅラシ	辛し	23		48	-18.4984
ヅラカロ	辛かろ	25		48	-18.4975
ヅクラ	作ら	780		481	-19.0625
ヅメ	詰め	1298		276	-11.1711
ヅラ	づら	1285		437	-19.4167
ヅカマエリャ	捕まえりゃ	618		438	-18.4036
ヅカマリ	捕まり	788		91	-18.5506
ヅキアイ	付合い	832		501	-19.8610
ヅク	撞く	695		147	-14.9647
ヅキャ	撞きゃ	677		147	-18.1218
ヅケチョウリヨウカップ	付調理用カップ	1298	1285	17	-13.3395
ヅクリャ	作りゃ	770		481	-19.0573
ヅク	衝く	695		438	-14.9647
ヅカレ	づかれ	1285		501	-19.0802
ヅノ		1285		501	-18.1358
ヅク	即く	973		501	-16.4677
ヅクシ	づくし	1298		312	-12.3027
ヅク	突く	695		379	-14.6770
ヅメ	詰め	1285		276	-18.3181
ヅクリ	作り	1285		258	-8.8728
