ニュウシュシ	入手し	1283	610	17	-11.0878
ニセンサンネンド	2003年度	1288		386	-12.1872
ニツメル	煮つめる	619		501	-15.6856
ニノ	仁ノ	1293		501	-17.7008
ニワイジリ	庭弄り	1285		501	-18.7236
ニタッスル	に達する	151	583	17	-11.0896
ニベアメン		1285		501	-15.2283
ニカン	2冠	1288		7	-12.4576
ニツカエル	に使える	151	619	17	-10.9258
ニジュウハッカン	28巻	1288		424	-13.8925
ニジメドメ	にじめ止め	1285		501	-19.2344
ニュウカイキン	入会金	1283	1298	17	-13.1281
ニアガル	煮上がる	772		501	-16.7372
ニセンイチネン	2001年	1288		237	-8.5963
ニセンケイ	2000系	1288		426	-12.1150
ニギワシ	にぎわし	39		501	-17.6418
ニガツヨッカ	2月4日	1288		195	-11.4547
ニュウライ	入来	1283		72	-16.9967
ニカエス	煮返す	731		501	-17.4749
ニクタイテキ	肉体的	1285	1299	17	-12.5567
ニタテル	に立てる	151	619	17	-11.3929
ニホンフットボールリーグ	日本フットボールリーグ	1288		372	-13.5571
ニンゲンデス	人間です	1285	460	17	-10.9907
ニャ		1285		420	-12.0070
ニコニコシ	ニコニコし	1282	610	17	-10.8242
ニギワシケレ	賑わしけれ	40		501	-17.5916
ニホンセイシン	日本精神	1288		291	-13.8994
ニサイ	2才	1288		51	-14.6016
ニギニギシカロ	賑にぎしかろ	46		501	-17.5378
ニワビ	燎	1285		159	-18.7236
ニアワ	に合わ	151	823	17	-10.7538
ニコス		1288		92	-15.5063
ニオコナワレル	に行われる	151	870	17	-11.2493
ニー	にー	1281		80	-10.4373
ニチヘイキンジョウシャジンイン	日平均乗車人員	1300	1285	17	-13.1511
ニホンスポーツシンコウセンター	日本スポーツ振興センター	1288		214	-14.6608
ニュウメン	にゅうめん	1288		501	-14.3709
ニョンジョン	にょんじょん	1289		501	-18.1292
ニイク	にいく	151	696	17	-10.1953
ニアウ	に会う	151	817	17	-10.5330
ニュウネン	入念	1285		169	-13.7420
ニュウカ	入荷	1283		442	-11.4584
ニガニガシク	苦々しく	51		427	-12.3147
ニエタテ	煮え立て	736		501	-14.0233
ニナルナラ	になるなら	151	452	17	-11.2417
ニース		1293		463	-11.6746
ニオモワ	に思わ	329	823	17	-10.9991
ニセイ	2世	1288		273	-9.2762
ニハイッタラ	に入ったら	151	433	17	-11.3421
ニギワイ	賑わい	1285		480	-12.3940
ニョウ	佞	1288		501	
ニシクルワ	西曲輪	1285		501	-18.7236
ニ	に゚	1288		501	-20.0000
ニーア		1288		501	-13.6950
ニチブリ	日ぶり	1300	1298	17	-12.8465
ニガムシ	苦虫	1285		501	-15.3446
ニブン	鈍ん	774		471	-12.1428
ニセイコウシタ	に成功した	151	435	17	-10.6380
ニホンノダム	日本のダム	1293		102	-13.3981
ニンチシ	認知し	1283	610	17	-11.3933
ニトロ		1285		405	-13.6289
ニカク	に格	1285		501	-18.7236
ニョウ	饒	1293		128	-13.1682
ニンシキサレ	認識され	1283	876	17	-11.1376
ニスケ	仁助	1291		369	-15.4643
ニゲノボル	逃げのぼる	772		501	-18.4236
ニオカ	二岡	1290		310	-17.5531
ニノエチョウ	二之江町	1293		501	-17.1900
ニジッシ	に実施	151	1283	17	-11.2717
ニューメタル		1288		501	-14.1953
ニキロメートル	2km	1288		259	-11.6680
ニッタイダイ	日体大	1292		491	-12.5432
ニイサト	新里	1290		200	-13.8044
ニッカンキホンジョウヤク	日韓基本条約	1288		209	-13.9011
ニッテン	日展	1285		313	-18.6282
ニクメヨ	憎めよ	621		501	-12.6088
ニクタラシキ	憎たらしき	44		501	-12.8407
ニニンメイ	に任命	151	1283	17	-10.8049
ニセ		1288		51	-12.9238
ニナエル	担える	619		481	-13.4459
ニュウモンヘン	入門編	1288		396	-13.3270
