ハヤカワブンコ	ハヤカワ文庫	1288		136	-13.3788
ハ	覇	1285		135	-12.8076
ハジメハ	初めは	1314	261	17	-11.0537
ハスズシ	鰣寿司	1285		501	-18.7236
ハシリコメン	走り込めん	620		501	-17.9780
ハチガツニジュウキュウニチ	8月29日	1288		195	-11.4793
ハナアテ	鼻当て	1285		501	-18.7236
ハス	has	1289		121	-10.9488
ハチスカ	蜂須賀	1293		108	-13.3807
ハニヤ	埴谷	1293		57	-13.6289
ハダアレ	肌アレ	1283		501	-18.1494
ハナシコトバ	はなしことば	1285		501	-19.0802
ハ	八	1288		501	
ハゼ	爆ぜ	622		501	-14.8874
ハナタニ	花谷	1290		440	-17.7354
ハナハジメトクレージーキャッツ	ハナ肇とクレージーキャッツ	1289		122	-16.8850
ハギナガ	萩永	1290		501	-17.7354
ハナバナシケレ	花々しけれ	40		501	-17.5916
ハマゴロウ	浜五郎	1291		501	-18.1724
ハイリクサル	入りくさる	772		501	-18.4236
ハイヤーセルフ		1288		501	-13.8470
ハタシ	果たし	735		258	-7.1029
ハキトル	掃き取る	772		501	-18.4236
ハハト	母と	1285	363	17	-11.0749
ハナク	はなく	261	36	17	-9.5168
ハルツアー	春ツアー	1285		17	-12.9734
ハンブッシツ	反物質	1288		339	-13.1992
ハンジン	判じん	620		501	-17.1756
ハーブティー		1288		75	-12.7459
ハンゴン	はんごん	1285		501	-18.9467
ハラ		1288		149	-13.1106
ハシイタ	橋板	1285		284	-15.7480
ハカエ	は変え	261	622	17	-11.2928
ハライチョウ	原井町	1293		501	-17.7008
ハナク	はなく	261	481	17	-8.0505
ハゲチョロケル	剥げちょろける	619		501	-18.6535
ハリマワサ	張回さ	733		501	-17.4913
ハリボネ	張り骨	1285		501	-18.7236
ハスッパ	蓮っ葉	1287		501	-17.8935
ハレワタ	晴れ渡	776		501	-13.8897
ハラゲイ	胆芸	1285		501	-18.6282
ハイシ	拝し	587		32	-12.2547
