バラジマ	茨島	1293		110	-17.7008
バッジ	badge	1285		501	-17.9351
バイエン	梅園	1285		358	-17.7253
バッファオーバーフロー		1288		197	-14.5346
バンシュウ	播州	1293		404	-12.1325
バス	🚌	5		501	-23.7062
バリカン		1285		256	-14.0153
バンシュン	晩春	1314		112	-13.2763
バター		1285		75	-10.5437
バカバカシカラ	馬鹿馬鹿しから	47		17	-11.4407
バイトサキ	バイト先	1285	1298	17	-11.2015
バニー	👯	1285		501	-24.0935
バクサイ	博才	1285		501	-18.6282
バシ	橋	1285		469	-14.2029
バンザイ	万歳	1285		495	-12.8341
バイボク	売卜	1285		501	-18.1929
バレット		1289		255	-11.8907
バトルシーン		1285		17	-13.0696
バケヨ	化けよ	621		438	-11.5493
バチ	撥	1285		4	-13.4284
バイバイ	👋🏻	1285		501	-24.8358
バンコヤキ	萬古焼	1288		55	-14.9858
バイ	賠	1288		501	
バカハタ	バカ畑	1289		501	-16.7429
バッカン	ばっかん	1285		501	-17.2980
バナ		1289		54	-11.9971
バショウ	芭蕉	1285		312	-13.4731
バリアフリーカ	バリアフリー化	1285	1297	17	-12.9924
バタ		1285		149	-12.0714
バオリ	羽織り	1285		295	-15.4696
バトオペ		1285		501	-14.8143
ババッシキャ	ばばっしきゃ	42		501	-17.5378
バッテリーコーチ		1285		310	-13.1750
バンエツトウセン	磐越東線	1288		321	-14.6272
バイサ	売茶	1289		501	-17.9060
バイイノカ	ばいいのか	318	359	17	-10.2997
バエエ	早え	19		471	-18.0407
ババスギ	婆杉	1285		501	-18.7236
バスストップ	BS	1288		305	-10.8203
バナ	ばな	1285		501	-19.2344
バコ	筺	1285		139	-18.4612
バイシュンヤド	売春宿	1288		290	-13.9202
バレル	バレる	619		479	-9.7058
バアイガアル	場合がある	1314	772	17	-10.3414
バイーア		1285		400	-15.1597
バントゥー		1288		340	-13.8482
バーニング		1288		141	-13.5779
バエ		1285		166	-15.2301
バイクカワサキバイク	バイク川崎バイク	1289		122	-16.5410
バカバカシイ	馬鹿馬鹿しい	43		17	-11.7825
バトウカンノン	馬頭観音	1285		404	-14.6890
バイセイド	倍精度	1285		31	-14.6996
バイゲツドウ	梅月堂	1291		501	-18.1724
バックミンスター・フラー		1289		210	-13.7991
バラツケ	バラつけ	675		501	-13.4316
バッバッ	ばっばっ	1281		501	-16.9196
バツ	ばつ	1285		331	-13.7272
バンク	万句	1285		501	-18.4612
バエ	映え	1285		48	-13.1999
ババ	馬場	1285		245	-11.1138
バンドリーダー		1288		196	-14.4388
バフェット		1288		378	-13.0326
バンダシャ	番打者	1300	1285	17	-13.3296
バイサン	買参	1285		501	-18.6282
バネシタ	発条下	1285		501	-18.7236
バラ	🌹	5		501	-20.2915
バヤシ	早し	23		471	-9.2631
バンコクユウビンレンゴウ	万国郵便連合	1292		153	-13.4242
バク	藐	1288		501	
バンエイ	ばんえい	1288		165	-14.2941
バイ	髀	1288		501	
バクザン	莫山	1291		501	-18.1724
