パークナイ	パーク内	1288		501	-13.4310
パイ	肺	1288		501	
パフォーマンスヲ	パフォーマンスを	1285	156	17	-11.0965
パラ	Para	1289		107	-13.5057
パシュ	ぱしゅ	1281		501	-16.5665
パミールコウゲン	パミール高原	1288		432	-14.1411
パプリカ		1285		75	-12.2722
パントマイム	pantomime	1285		501	-17.8906
パーティション		1288		45	-12.9958
パッカー		1290		470	-13.6668
パレット	🎨	5		501	-22.5650
パク	拍	1285		458	-17.6881
パンサーズ		1288		62	-14.6313
パラエロ	払えろ	623		474	-18.4225
パチンコダマ	パチンコ玉	1285		501	-18.0817
パイ	ぱい	1285		80	-18.6282
パット		1300		255	-13.5786
パッタ	ぱった	1281		501	-15.9963
パンチ	👊	5		501	-20.5619
パイロン		1289		95	-12.2617
パッサウ		1288		463	-14.5820
パチンコテン	パチンコ店	1288		442	-12.6302
パニクリャ	パニクりゃ	770		501	-13.8942
パーフェクト	perfect	1287		121	-16.7949
パツ	髪	1288		501	
パズソ	外そ	732		379	-17.6547
パレートノホウソク	パレートの法則	1288		501	-14.6783
パブリックスクール		1288		314	-13.7312
パーラー		1285		347	-14.2814
パト		1289		418	-16.8074
パフォーマー		1288		324	-12.8305
パシン	走ん	774		471	-18.5466
パク	薄	1288		501	
パーパ	爸々	1285		501	-18.3181
パッション	Passion	1288		367	-14.2573
パンチライン		1288		398	-14.4814
パナシ	放し	1299		155	-14.7646
パラダイス	ぱらだいす	1285		80	-18.5412
パンダサン	ぱんださん	1285	1302	17	-13.4227
パセリ	ぱせり	1285		501	-18.5412
パスワード		1285		283	-11.5014
パニクル	パニクる	772		501	-13.7713
パブリッシング		1288		274	-13.3523
パーソンズ	PERSONZ	1289		122	-18.2840
パナシャ	放しゃ	730		379	-17.6536
パチョレック		1289		334	-14.5470
パク	楊	1290		246	-10.6989
パルミジャニーノ		1289		501	-15.1847
パッ	パっ	1281		501	-16.9196
パンチャン	パンちゃん	1285	1302	17	-13.0661
パン	搬	1288		501	
パサパサ		1282		93	-12.1958
パレード		1283		224	-11.1785
パア	ぱあ	1285		80	-14.7491
パンデミック	pandemic	1289		501	-13.8665
パイプフレーム		1288		289	-14.8053
