ベイカイグン	米海軍	1288		230	-12.7399
ベイズノテイリ	ベイズの定理	1288		65	-14.6735
ベンショウホウ	弁証法	1285		88	-13.1396
ベーメン		1285		446	-14.7843
ベンリキノウ	便利機能	1287	1283	17	-13.4118
ベタツキャ	ベタつきゃ	677		501	-12.9291
ベスタ		1285		466	-14.6065
ベニバラ	紅バラ	1285		501	-18.7236
ベヘイレン	ベ平連	1292		131	-13.2165
ベイコク	米圀	1294		501	-16.8635
ベンパツ	辮髪	1285		135	-14.6464
ベンゴシ	弁護士	1285		38	-10.1926
ベラボウニ	べらぼうに	1288		501	-14.3827
ベニコ	紅子	1291		370	-12.4755
ベンチタイム		1285		17	-12.7800
ベーグル		1288		391	-12.6728
ベースボール	baseball	1285		5	-17.8906
ベイスギ	米杉	1285		501	-18.6282
ベロクロン		1288		190	-14.8868
ベトツキ	べと付き	1285		501	-19.2344
ベニブタ	紅豚	1285		501	-18.7236
ベシミ	癋見	1285		501	-18.7236
ベニザラ	紅皿	1285		501	-18.7236
ベイショク	米食	1285		55	-15.1143
ベッポリ	別堀	1290		501	-17.7354
ベン		1291		255	-11.2672
ベラクルス		1293		373	-13.1037
ベイシア		1288		35	-14.9663
ベルヒテスガーデン		1293		463	-13.8507
ベルファスト		1293		138	-12.0354
ベツギ	別儀	1285		501	-17.1760
ベルリンオリンピック		1288		7	-13.9551
ベイビーズ		1288		484	-15.6369
ベラボウ	篦棒	1287		501	-16.4119
ベリーズコウボウ	Berryz工房	1289		122	-17.5310
ベトナムコク	ベトナム国	1288		19	-14.0216
ベストオブザスーパージュニア	BEST OF THE SUPER Jr.	1288		175	-14.8163
ベイコクダイトウリョウ	米国大統領	1288		38	-13.7605
ベッコ	別個	1285		468	-12.5851
ベビチャン	ベビちゃん	1285	1302	17	-13.5279
ベジット		1289		89	-13.1276
ベッキ	別姫	1285		501	-18.6282
ベイカ	米菓	1288		35	-14.1581
ベイカン	米韓	1285		209	-19.6398
ベストテン		1285		318	-13.2930
ベンシ	便し	587		501	-14.3944
ベビーパウダー		1288		501	-14.6292
ベルショウ	belshaw	1289		501	-16.8074
ベン	駢	1288		501	
ベッキョセイカツ	別居生活	1288		501	-14.8187
ベニサト	紅里	1290		501	-17.7354
ベルマン		1289		65	-14.0870
ベンキョウチュウ	勉強中	1283	1305	17	-11.3627
ベンジ	便じ	622		501	-18.2547
ベンセヨ	便せよ	589		501	-14.3854
ベースメイク		1285	1283	17	-13.2246
ベキジョウ	べき乗	1283		447	-14.0336
ベンピ	便秘	1283		192	-11.6454
ベストバウト		1288		178	-14.2302
ベイサイ	米斎	1291		501	-18.1724
ベストセラーバッジ		1285		17	-13.1243
ベンケイイシチョウ	弁慶石町	1293		501	-17.7008
ベイブルース		1289		122	-16.0050
ベストプラクティス		1288		294	-14.2608
ベタ	べた	1283		389	-18.5549
ベツモノ	別物	1285		468	-11.4651
ベツ	別	1285		468	-8.4245
ベンメイ	弁明	1283		133	-12.1396
ベタユキ	べた雪	1285		501	-19.2344
ベッシュウ	別集	1285		501	-18.6282
ベツウリ	別売り	1285		139	-13.5371
ベツダン	べつだん	1281		501	-17.2679
ベンキョウニナリマシ	勉強になりまし	1283	501	17	-11.4202
ベンキョウイガイ	勉強以外	1283	1313	17	-13.2641
ベチュアナランド		1288		373	-14.5671
ベニズリ	紅摺り	1285		501	-18.7236
ベン・ハー		1288		496	-14.5425
ベビーブーマー		1288		350	-14.7231
ベキモノ	べきもの	539	1310	17	-10.8660
ベット		1285		283	-11.8600
ベンズル	辨ずる	592		501	-14.5328
