ホントウ	本当	1285		17	-9.0061
ホウキ	菷	1288		501	
ホウドウノジユウ	報道の自由	1288		456	-13.2986
ホウムレヨ	葬れよ	621		501	-16.7391
ホンノ	ほんの	1315		143	-9.0011
ホウ	鳳	1288		501	
ホウレイイハン	法令違反	1288		455	-13.6013
ホシカッタ	欲しかった	144	435	17	-10.3959
ホリアゲロ	彫りあげろ	623		501	-18.4225
ホンポウ	本邦	1285		59	-13.8551
ホソネギ	細葱	1285		501	-18.7236
ホット	ほっと	1287		244	-18.0477
ホスル	ほする	583		501	-15.8605
ホウ	蜂	1288		501	
ホトリ	陲	1288		501	
ホッタイ	法体	1285		365	-17.5342
ホンシャキノウ	本社機能	1285	1283	17	-13.5279
ホトバシリ	ほとばしり	1285		54	-19.2344
ホアー	ほあー	1281		501	-15.4901
ホウジョウツナシゲ	北条綱成	1289		328	-13.7422
ホウテイ	奉呈	1283		193	-14.7257
ホシュテキ	保守的	1283	1299	17	-11.7435
ホドヨキャ	ほどよきゃ	17		501	-12.6102
ホンモノ	真物	1285		501	-18.6282
ホロボ	亡ぼ	755		501	-13.4639
ホリケ	堀家	1290		148	-17.7354
ホロボセ	滅ぼせ	622		501	-15.6545
ホンシ	本姿	1285		501	-18.6282
ホンマ	ほんま	1285		36	-10.4334
ホン		1300		149	-14.3100
ホウジン	奉じん	620		135	-11.8247
ホンリョウアンド	本領安堵	1288		193	-14.4991
ホワーッ	ほわーっ	1281		501	-17.6734
ホウガ	邦画	1285		449	-12.4552
ホネバレ	骨ばれ	768		501	-18.5466
ホシノタカノリ	星野貴紀	1289		122	-18.6340
ホウジョウフミヤ	北條史也	1289		122	-18.5630
ホッショウジ	法勝寺	1293		238	-13.3666
ホリカコム	彫り囲む	762		501	-17.1905
ホリカワ	堀川	1290		231	-10.8718
ホウヨウ	包葉	1285		501	-18.6282
ホメソヤサ	誉めそやさ	733		501	-14.9709
ホウムリウメル	葬り埋める	619		501	-18.2480
ホンデ	ほんで	555		150	-11.1452
ホリチエミ	堀ちえみ	1289		122	-15.5900
ホイッスル		1285		64	-13.7253
ホボ	略々	1281		501	-17.9611
ホセヨ	干せよ	624		501	-14.5696
